fold,validation_year,horizon_min,threshold,cost_bps_round_trip,train_rows,validation_rows,best_iteration,trades,longs,shorts,gross_return_sum,net_return_sum,compound_return,win_rate,profit_factor,max_drawdown,avg_trade_net
2,2023,30,0.0001,0.0,329054,408756,16,159,25,134,0.0549993746496117,0.0549993746496117,0.05572561366153228,0.5345911949685535,1.407296224093668,-0.018149394872227442,0.00034590801666422455
2,2023,30,0.0001,1.0,329054,408756,16,159,25,134,0.0549993746496117,0.03909937464961171,0.03907704993271044,0.5220125786163522,1.274380168998586,-0.01883829400588155,0.0002459080166642246
2,2023,30,0.0001,2.0,329054,408756,16,159,25,134,0.0549993746496117,0.023199374649611703,0.022689405114694416,0.5094339622641509,1.154535128804196,-0.019526778796096766,0.00014590801666422454
2,2023,30,0.0001,5.0,329054,408756,16,159,25,134,0.0549993746496117,-0.024500625350388307,-0.024948339224873828,0.42138364779874216,0.8609744899308414,-0.02704778279053377,-0.00015409198333577552
2,2023,30,0.0002,0.0,329054,408756,16,74,1,73,0.017593167316716462,0.017593167316716462,0.017493514951509637,0.5405405405405406,1.2804397622818096,-0.02077673571987171,0.0002377455042799522
2,2023,30,0.0002,1.0,329054,408756,16,74,1,73,0.017593167316716462,0.010193167316716469,0.009993205989625498,0.527027027027027,1.1540459694673872,-0.024289728843915004,0.00013774550427995229
2,2023,30,0.0002,2.0,329054,408756,16,74,1,73,0.017593167316716462,0.0027931673167164656,0.002547442794195609,0.5135135135135135,1.0400844565788436,-0.028090179955547856,3.774550427995224e-05
2,2023,30,0.0002,5.0,329054,408756,16,74,1,73,0.017593167316716462,-0.01940683268328354,-0.019466471245328743,0.44594594594594594,0.7604891372885577,-0.03951143155403203,-0.0002622544957200478
2,2023,30,0.0005,0.0,329054,408756,16,2,0,2,-0.0004870389283579998,-0.0004870389283579998,-0.0004920434897146553,0.5,0.8047018353170384,0.0,-0.0002435194641789999
2,2023,30,0.0005,1.0,329054,408756,16,2,0,2,-0.0004870389283579998,-0.0006870389283579997,-0.0006919847858217754,0.5,0.7351249102033013,0.0,-0.00034351946417899985
2,2023,30,0.0005,2.0,329054,408756,16,2,0,2,-0.0004870389283579998,-0.000887038928358,-0.000891906081929017,0.5,0.6707136505289676,0.0,-0.000443519464179
2,2023,30,0.0005,5.0,329054,408756,16,2,0,2,-0.0004870389283579998,-0.0014870389283579998,-0.001491549970250694,0.5,0.5032975395322342,0.0,-0.0007435194641789999
2,2023,60,0.0,0.0,327770,407136,1,6833,6737,96,0.20502305297515294,0.20502305297515294,0.21730853971753095,0.43070393677740376,1.0661996262702362,-0.10951489005697668,3.000483725671783e-05
2,2023,60,0.0,1.0,327770,407136,1,6833,6737,96,0.20502305297515294,-0.478276947024847,-0.38533202316549764,0.3955802722084004,0.8632427815934416,-0.4050489484236992,-6.999516274328216e-05
2,2023,60,0.0,2.0,327770,407136,1,6833,6737,96,0.20502305297515294,-1.1615769470248472,-0.6896506594008442,0.3606029562417679,0.7038447209445596,-0.6923978287551129,-0.0001699951627432822
2,2023,60,0.0,5.0,327770,407136,1,6833,6737,96,0.20502305297515294,-3.211476947024847,-0.9600696233170924,0.26781794233865064,0.39792474667691735,-0.960049648141163,-0.0004699951627432822
2,2023,60,0.0001,0.0,327770,407136,1,5,0,5,-0.00018970416224889993,-0.00018970416224889993,-0.00019124925562818973,0.4,0.8916742666987235,-0.0010939886356386985,-3.7940832449779986e-05
2,2023,60,0.0001,1.0,327770,407136,1,5,0,5,-0.00018970416224889993,-0.0006897041622489,-0.0006910729317549658,0.4,0.663762033050203,-0.0012938692075548097,-0.00013794083244978
2,2023,60,0.0001,2.0,327770,407136,1,5,0,5,-0.00018970416224889993,-0.0011897041622489,-0.0011906966907273553,0.2,0.5099917185637501,-0.0015703036711467444,-0.00023794083244978002
2,2023,60,0.0001,5.0,327770,407136,1,5,0,5,-0.00018970416224889993,-0.0026897041622488994,-0.0026883690644333713,0.2,0.25861120517862013,-0.0024690914576604994,-0.0005379408324497799
2,2023,60,0.0002,0.0,327770,407136,1,5,0,5,-0.00018970416224889993,-0.00018970416224889993,-0.00019124925562818973,0.4,0.8916742666987235,-0.0010939886356386985,-3.7940832449779986e-05
2,2023,60,0.0002,1.0,327770,407136,1,5,0,5,-0.00018970416224889993,-0.0006897041622489,-0.0006910729317549658,0.4,0.663762033050203,-0.0012938692075548097,-0.00013794083244978
2,2023,60,0.0002,2.0,327770,407136,1,5,0,5,-0.00018970416224889993,-0.0011897041622489,-0.0011906966907273553,0.2,0.5099917185637501,-0.0015703036711467444,-0.00023794083244978002
2,2023,60,0.0002,5.0,327770,407136,1,5,0,5,-0.00018970416224889993,-0.0026897041622488994,-0.0026883690644333713,0.2,0.25861120517862013,-0.0024690914576604994,-0.0005379408324497799
2,2023,60,0.0005,0.0,327770,407136,1,0,0,0,0.0,0.0,0.0,,,,
2,2023,60,0.0005,1.0,327770,407136,1,0,0,0,0.0,0.0,0.0,,,,
2,2023,60,0.0005,2.0,327770,407136,1,0,0,0,0.0,0.0,0.0,,,,
2,2023,60,0.0005,5.0,327770,407136,1,0,0,0,0.0,0.0,0.0,,,,
3,2024,5,0.0,0.0,412145,412002,21,82440,50865,31575,-0.04055208932923808,-0.04055208932923808,-0.04916448382876415,0.43174429888403687,0.9967300790799503,-0.11993564278719104,-4.918982208786764e-07
3,2024,5,0.0,1.0,412145,412002,21,82440,50865,31575,-0.04055208932923808,-8.284552089329239,-0.9997501956249039,0.3311014070839398,0.526471298013813,-0.9997501867460432,-0.00010049189822087868
3,2024,5,0.0,2.0,412145,412002,21,82440,50865,31575,-0.04055208932923808,-16.52855208932924,-0.9999999344252595,0.24573022804463854,0.29289435270381237,-0.9999999344121419,-0.00020049189822087869
3,2024,5,0.0,5.0,412145,412002,21,82440,50865,31575,-0.04055208932923808,-41.26055208932924,-1.0,0.09489325570111597,0.06619590791849951,-1.0,-0.0005004918982208787
3,2024,5,0.0001,0.0,412145,412002,21,0,0,0,0.0,0.0,0.0,,,,
3,2024,5,0.0001,1.0,412145,412002,21,0,0,0,0.0,0.0,0.0,,,,
