horizon_min,validation_year,top_k,long_threshold,short_threshold,cost_bps,auc,trades,compound,profit_factor,win_rate,max_drawdown,selected_features
15,2023,3,0.5,0.5,5,0.5120360720083944,14291,-0.9991656467519517,0.22445774552083592,0.2297949758589322,-0.9991662756680755,distance_sma_60|distance_high_60|distance_sma_15
15,2023,3,0.55,0.45,0,0.5120360720083944,449,-0.02246163182688954,0.9340656394586628,0.5100222717149221,-0.08236814253865199,distance_sma_60|distance_high_60|distance_sma_15
15,2023,3,0.55,0.45,1,0.5120360720083944,449,-0.06538662804414697,0.8114966787307997,0.48329621380846327,-0.10068131195365548,distance_sma_60|distance_high_60|distance_sma_15
15,2023,3,0.55,0.45,2,0.5120360720083944,449,-0.10643074456180945,0.7041866977890245,0.47438752783964366,-0.12809205746626973,distance_sma_60|distance_high_60|distance_sma_15
15,2023,3,0.55,0.45,5,0.5120360720083944,449,-0.21908243266898153,0.45528115868864777,0.4053452115812918,-0.21860442735923802,distance_sma_60|distance_high_60|distance_sma_15
15,2023,3,0.6,0.4,0,0.5120360720083944,50,-0.017283305338579025,0.7290954967945964,0.5,-0.027393939659958177,distance_sma_60|distance_high_60|distance_sma_15
15,2023,3,0.6,0.4,1,0.5120360720083944,50,-0.02218659767997444,0.6640503137512671,0.48,-0.030279005174925766,distance_sma_60|distance_high_60|distance_sma_15
15,2023,3,0.6,0.4,2,0.5120360720083944,50,-0.02706591182054008,0.6039681029125016,0.48,-0.03367025026626935,distance_sma_60|distance_high_60|distance_sma_15
15,2023,3,0.6,0.4,5,0.5120360720083944,50,-0.0415611311169547,0.45178762050829235,0.42,-0.04377500575235471,distance_sma_60|distance_high_60|distance_sma_15
15,2023,5,0.5,0.5,0,0.5122606943489761,14291,0.07087134166127673,1.016471802291764,0.5087117766426422,-0.1245250247765185,distance_sma_60|distance_high_60|distance_sma_15|return_30m|momentum_30m
15,2023,5,0.5,0.5,1,0.5122606943489761,14291,-0.7435169292921197,0.7446662664474433,0.44748443076061856,-0.7449599873553201,distance_sma_60|distance_high_60|distance_sma_15|return_30m|momentum_30m
15,2023,5,0.5,0.5,2,0.5122606943489761,14291,-0.9385788369380602,0.5465026548494869,0.3866069554264922,-0.9387470619234034,distance_sma_60|distance_high_60|distance_sma_15|return_30m|momentum_30m
15,2023,5,0.5,0.5,5,0.5122606943489761,14291,-0.9991572021015522,0.2251941418187274,0.22944510531103493,-0.9991578373830575,distance_sma_60|distance_high_60|distance_sma_15|return_30m|momentum_30m
15,2023,5,0.55,0.45,0,0.5122606943489761,331,0.003783292177043318,1.0176918930381462,0.5317220543806647,-0.04012494446615111,distance_sma_60|distance_high_60|distance_sma_15|return_30m|momentum_30m
15,2023,5,0.55,0.45,1,0.5122606943489761,331,-0.028899388364377998,0.8950707955033259,0.5075528700906344,-0.057122647387460534,distance_sma_60|distance_high_60|distance_sma_15|return_30m|momentum_30m
15,2023,5,0.55,0.45,2,0.5122606943489761,331,-0.06052104747950493,0.7864015877260677,0.4984894259818731,-0.07993621509531257,distance_sma_60|distance_high_60|distance_sma_15|return_30m|momentum_30m
15,2023,5,0.55,0.45,5,0.5122606943489761,331,-0.14935783340001396,0.5284590284684316,0.42900302114803623,-0.15106432051779028,distance_sma_60|distance_high_60|distance_sma_15|return_30m|momentum_30m
15,2023,5,0.6,0.4,0,0.5122606943489761,26,-0.009291780643840952,0.7727711921901723,0.46153846153846156,-0.0148595046365253,distance_sma_60|distance_high_60|distance_sma_15|return_30m|momentum_30m
15,2023,5,0.6,0.4,1,0.5122606943489761,26,-0.011865343367098768,0.7181415186754039,0.46153846153846156,-0.01614089828988441,distance_sma_60|distance_high_60|distance_sma_15|return_30m|momentum_30m
15,2023,5,0.6,0.4,2,0.5122606943489761,26,-0.014432477235838403,0.6670551206338123,0.46153846153846156,-0.017420753264244193,distance_sma_60|distance_high_60|distance_sma_15|return_30m|momentum_30m
15,2023,5,0.6,0.4,5,0.5122606943489761,26,-0.02209545972449889,0.534263051777299,0.38461538461538464,-0.021251103043083752,distance_sma_60|distance_high_60|distance_sma_15|return_30m|momentum_30m
15,2023,10,0.5,0.5,0,0.5122056304375096,14291,0.05881639446898057,1.0139707465751184,0.5084318802043244,-0.1531052159138715,distance_sma_60|distance_high_60|distance_sma_15|return_30m|momentum_30m|momentum_15m|return_15m|momentum_60m|return_60m|return_5m
15,2023,10,0.5,0.5,1,0.5122056304375096,14291,-0.7464044819112406,0.742878314445292,0.4458750262402911,-0.7471761580201121,distance_sma_60|distance_high_60|distance_sma_15|return_30m|momentum_30m|momentum_15m|return_15m|momentum_60m|return_60m|return_5m
15,2023,10,0.5,0.5,2,0.5122056304375096,14291,-0.9392704010200753,0.5453110364142403,0.3849975509061647,-0.9393343635554592,distance_sma_60|distance_high_60|distance_sma_15|return_30m|momentum_30m|momentum_15m|return_15m|momentum_60m|return_60m|return_5m
15,2023,10,0.5,0.5,5,0.5122056304375096,14291,-0.9991666943136822,0.2250730277970183,0.22972500174935273,-0.9991673224401783,distance_sma_60|distance_high_60|distance_sma_15|return_30m|momentum_30m|momentum_15m|return_15m|momentum_60m|return_60m|return_5m
15,2023,10,0.55,0.45,0,0.5122056304375096,335,0.010987481744741512,1.04566780346033,0.5492537313432836,-0.04495932201897401,distance_sma_60|distance_high_60|distance_sma_15|return_30m|momentum_30m|momentum_15m|return_15m|momentum_60m|return_60m|return_5m
15,2023,10,0.55,0.45,1,0.5122056304375096,335,-0.022320233097981146,0.9195887784753386,0.5223880597014925,-0.05722473336356726,distance_sma_60|distance_high_60|distance_sma_15|return_30m|momentum_30m|momentum_15m|return_15m|momentum_60m|return_60m|return_5m
15,2023,10,0.55,0.45,2,0.5122056304375096,335,-0.05453376892290973,0.807569716924266,0.5164179104477612,-0.07802858372996169,distance_sma_60|distance_high_60|distance_sma_15|return_30m|momentum_30m|momentum_15m|return_15m|momentum_60m|return_60m|return_5m
15,2023,10,0.55,0.45,5,0.5122056304375096,335,-0.14496189134652382,0.540545306316126,0.44776119402985076,-0.14514514419216673,distance_sma_60|distance_high_60|distance_sma_15|return_30m|momentum_30m|momentum_15m|return_15m|momentum_60m|return_60m|return_5m
15,2023,10,0.6,0.4,0,0.5122056304375096,23,-0.011637741200864471,0.6813678281071824,0.391304347826087,-0.020725729915006874,distance_sma_60|distance_high_60|distance_sma_15|return_30m|momentum_30m|momentum_15m|return_15m|momentum_60m|return_60m|return_5m
15,2023,10,0.6,0.4,1,0.5122056304375096,23,-0.013909644005366983,0.632184899790097,0.391304347826087,-0.0218044470149088,distance_sma_60|distance_high_60|distance_sma_15|return_30m|momentum_30m|momentum_15m|return_15m|momentum_60m|return_60m|return_5m
15,2023,10,0.6,0.4,2,0.5122056304375096,23,-0.016176551052200283,0.5865245381323547,0.391304347826087,-0.02288208377257983,distance_sma_60|distance_high_60|distance_sma_15|return_30m|momentum_30m|momentum_15m|return_15m|momentum_60m|return_60m|return_5m
15,2023,10,0.6,0.4,5,0.5122056304375096,23,-0.022947402412248685,0.46998498686258455,0.34782608695652173,-0.026108521727001732,distance_sma_60|distance_high_60|distance_sma_15|return_30m|momentum_30m|momentum_15m|return_15m|momentum_60m|return_60m|return_5m
15,2024,3,0.5,0.5,0,0.5175284157923316,14336,0.11498833139697329,1.0230586447963137,0.5169503348214286,-0.08641472346081658,distance_high_60|distance_sma_60|distance_sma_15
15,2024,3,0.5,0.5,1,0.5175284157923316,14336,-0.7341485652506674,0.7726326256047733,0.46058872767857145,-0.7357351753641332,distance_high_60|distance_sma_60|distance_sma_15
15,2024,3,0.5,0.5,2,0.5175284157923316,14336,-0.9366209941869085,0.5836136710229366,0.40394810267857145,-0.936679484267358,distance_high_60|distance_sma_60|distance_sma_15
15,2024,3,0.5,0.5,5,0.5175284157923316,14336,-0.99914199284987,0.2573978700863875,0.25802176339285715,-0.9991420520220841,distance_high_60|distance_sma_60|distance_sma_15
